External_Id__c,Provider__r.External_Id__c,Credential_Type__c,Credential_Number__c,Issuing_Authority__c,Issued_Date__c,Expiration_Date__c,Status__c
PRV-1005-LIC-PA265840,PRV-1005,Medical_License,PA265840,PA,2017-08-18,2026-05-14,Expired
PRV-1005-MAL-MP-211579,PRV-1005,Malpractice_Insurance,MP-211579,NORCAL Group,2024-09-26,2025-09-26,Expired
PRV-1006-BOARD-nurse-practition-02ad78df,PRV-1006,Board_Certification,,American Academy of Nurse Practitioners,2013-10-07,2023-10-07,Expired
PRV-1006-LIC-TX352572,PRV-1006,Medical_License,TX352572,TX,2018-02-21,2027-04-02,Valid
PRV-1006-MAL-MP-903035,PRV-1006,Malpractice_Insurance,MP-903035,NORCAL Group,2025-05-12,2026-05-12,Expired
PRV-1007-BOARD-oncology-certification,PRV-1007,Board_Certification,,American Board of Medical Specialties,2017-07-23,2027-07-23,Valid
PRV-1007-DEA-AJ4860684,PRV-1007,DEA,AJ4860684,DEA,,2025-10-16,Expired
PRV-1007-LIC-OH226882,PRV-1007,Medical_License,OH226882,OH,2018-05-18,2027-09-15,Valid
PRV-1007-MAL-MP-174441,PRV-1007,Malpractice_Insurance,MP-174441,ProAssurance,2025-08-25,2026-08-25,Expiring_Soon
PRV-1008-BOARD-cardiology-certification,PRV-1008,Board_Certification,,American Board of Medical Specialties,2021-09-01,2031-09-01,Valid
PRV-1008-DEA-MA2651177,PRV-1008,DEA,MA2651177,DEA,,2026-08-11,Expired
PRV-1008-LIC-NY201639,PRV-1008,Medical_License,NY201639,NY,2020-08-10,2027-04-04,Valid
PRV-1008-MAL-MP-455784,PRV-1008,Malpractice_Insurance,MP-455784,MedPro Group,2024-03-03,2025-03-03,Expired
PRV-1009-BOARD-psychiatry-certification,PRV-1009,Board_Certification,,American Board of Medical Specialties,2017-04-20,2027-04-20,Valid
PRV-1009-DEA-MD7728339,PRV-1009,DEA,MD7728339,DEA,,2027-06-12,Valid
PRV-1009-LIC-OH989921,PRV-1009,Medical_License,OH989921,OH,2022-02-15,2026-02-25,Expired
PRV-1009-MAL-MP-102260,PRV-1009,Malpractice_Insurance,MP-102260,Coverys,2024-03-01,2025-03-01,Expired
PRV-1010-BOARD-psychiatry-certification,PRV-1010,Board_Certification,,American Board of Medical Specialties,2023-11-29,2033-11-28,Valid
PRV-1010-DEA-AC2149597,PRV-1010,DEA,AC2149597,DEA,,2027-09-11,Valid
PRV-1010-LIC-NY994141,PRV-1010,Medical_License,NY994141,NY,2011-02-15,2028-08-17,Valid
PRV-1010-MAL-MP-346629,PRV-1010,Malpractice_Insurance,MP-346629,MedPro Group,2025-09-01,2026-09-01,Expiring_Soon
PRV-1011-BOARD-cardiology-certification,PRV-1011,Board_Certification,,American Board of Medical Specialties,2018-09-23,2028-09-23,Valid
PRV-1011-DEA-AH2677407,PRV-1011,DEA,AH2677407,DEA,,2022-10-25,Expired
PRV-1011-LIC-OH776856,PRV-1011,Medical_License,OH776856,OH,2015-12-16,2027-03-22,Valid
PRV-1011-MAL-MP-378082,PRV-1011,Malpractice_Insurance,MP-378082,NORCAL Group,2024-03-16,2025-03-16,Expired
PRV-1012-BOARD-neurology-certification,PRV-1012,Board_Certification,,American Board of Medical Specialties,2015-06-27,2025-06-27,Expired
PRV-1012-DEA-FD5428914,PRV-1012,DEA,FD5428914,DEA,,2024-05-12,Expired
PRV-1012-LIC-IL212235,PRV-1012,Medical_License,IL212235,IL,2012-04-28,2026-05-04,Expired
PRV-1012-MAL-MP-987204,PRV-1012,Malpractice_Insurance,MP-987204,MagMutual,2025-06-01,2026-06-01,Expired
PRV-1013-BOARD-physical-therapy-bffd3b9a,PRV-1013,Board_Certification,,American Board of Physical Therapy Specialties,2020-04-12,2030-04-12,Valid
PRV-1013-LIC-TX975136,PRV-1013,Medical_License,TX975136,TX,2011-09-09,2026-09-02,Expiring_Soon
PRV-1013-MAL-MP-233636,PRV-1013,Malpractice_Insurance,MP-233636,Coverys,2025-08-19,2026-08-19,Expiring_Soon
PRV-1014-BOARD-behavioral-healt-c73d59a0,PRV-1014,Board_Certification,,Association of Social Work Boards,2019-06-14,2029-06-14,Valid
PRV-1014-LIC-NC872343,PRV-1014,Medical_License,NC872343,NC,2013-12-21,2027-01-06,Valid
PRV-1014-MAL-MP-266931,PRV-1014,Malpractice_Insurance,MP-266931,MagMutual,2025-02-25,2026-02-25,Expired
PRV-1015-BOARD-ob-gyn-certification,PRV-1015,Board_Certification,,American Board of Medical Specialties,2019-11-16,2029-11-16,Valid
PRV-1015-DEA-FA2935113,PRV-1015,DEA,FA2935113,DEA,,2026-06-26,Expired
PRV-1015-LIC-PA392683,PRV-1015,Medical_License,PA392683,PA,2017-05-13,2027-02-25,Valid
PRV-1015-MAL-MP-378361,PRV-1015,Malpractice_Insurance,MP-378361,NORCAL Group,2024-09-24,2025-09-24,Expired
PRV-1016-BOARD-radiology-certification,PRV-1016,Board_Certification,,American Board of Medical Specialties,2016-06-02,2026-06-02,Expired
PRV-1016-DEA-FF3090865,PRV-1016,DEA,FF3090865,DEA,,2022-10-14,Expired
PRV-1016-LIC-GA877991,PRV-1016,Medical_License,GA877991,GA,2021-08-30,2028-11-24,Valid
PRV-1016-MAL-MP-528231,PRV-1016,Malpractice_Insurance,MP-528231,MedPro Group,2024-11-03,2025-11-03,Expired
PRV-1017-BOARD-orthopedic-surge-0986fe7c,PRV-1017,Board_Certification,,American Osteopathic Association,2016-10-16,2026-10-16,Expiring_Soon
PRV-1017-DEA-AE9647849,PRV-1017,DEA,AE9647849,DEA,,2023-11-26,Expired
PRV-1017-LIC-IL808446,PRV-1017,Medical_License,IL808446,IL,2017-03-24,2027-08-15,Valid
PRV-1017-MAL-MP-958179,PRV-1017,Malpractice_Insurance,MP-958179,ProAssurance,2025-11-10,2026-11-10,Expiring_Soon
PRV-1018-BOARD-family-medicine--ce72a37b,PRV-1018,Board_Certification,,American Board of Medical Specialties,2012-02-15,2022-02-15,Expired
PRV-1018-DEA-MD3950888,PRV-1018,DEA,MD3950888,DEA,,2023-03-12,Expired
PRV-1018-LIC-FL254739,PRV-1018,Medical_License,FL254739,FL,2018-08-12,2027-07-08,Valid
PRV-1018-MAL-MP-684482,PRV-1018,Malpractice_Insurance,MP-684482,ProAssurance,2025-12-13,2026-12-13,Valid
PRV-1019-BOARD-neurology-certification,PRV-1019,Board_Certification,,American Board of Medical Specialties,2018-03-21,2028-03-21,Valid
PRV-1019-DEA-MD5606980,PRV-1019,DEA,MD5606980,DEA,,2027-11-05,Valid
PRV-1019-LIC-NC359249,PRV-1019,Medical_License,NC359249,NC,2020-08-24,2027-05-25,Valid
PRV-1019-MAL-MP-399607,PRV-1019,Malpractice_Insurance,MP-399607,MedPro Group,2025-03-26,2026-03-26,Expired
PRV-1020-BOARD-psychiatry-certification,PRV-1020,Board_Certification,,American Board of Medical Specialties,2016-08-21,2026-08-21,Expiring_Soon
PRV-1020-DEA-AG9002392,PRV-1020,DEA,AG9002392,DEA,,2026-05-15,Expired
PRV-1020-LIC-NY165290,PRV-1020,Medical_License,NY165290,NY,2017-06-03,2028-08-14,Valid
PRV-1020-MAL-MP-890075,PRV-1020,Malpractice_Insurance,MP-890075,MagMutual,2024-01-07,2025-01-07,Expired
PRV-1021-BOARD-pediatrics-certification,PRV-1021,Board_Certification,,American Board of Medical Specialties,2023-12-24,2033-12-24,Valid
PRV-1021-LIC-PA752483,PRV-1021,Medical_License,PA752483,PA,2019-01-26,2026-08-05,Expired
PRV-1021-MAL-MP-773971,PRV-1021,Malpractice_Insurance,MP-773971,ProAssurance,2025-02-07,2026-02-07,Expired
PRV-1022-BOARD-ob-gyn-certification,PRV-1022,Board_Certification,,American Board of Medical Specialties,2013-07-16,2023-07-16,Expired
PRV-1022-DEA-AD4344717,PRV-1022,DEA,AD4344717,DEA,,2022-06-14,Expired
PRV-1022-LIC-PA335113,PRV-1022,Medical_License,PA335113,PA,2010-06-08,2028-01-12,Valid
PRV-1022-MAL-MP-232352,PRV-1022,Malpractice_Insurance,MP-232352,The Doctors Company,2024-01-21,2025-01-21,Expired
PRV-1023-BOARD-nurse-practition-5460c744,PRV-1023,Board_Certification,,American Academy of Nurse Practitioners,2013-09-14,2023-09-14,Expired
PRV-1023-DEA-AE3030966,PRV-1023,DEA,AE3030966,DEA,,2024-09-21,Expired
PRV-1023-LIC-TX307963,PRV-1023,Medical_License,TX307963,TX,2022-11-30,2027-07-23,Valid
PRV-1023-MAL-MP-658623,PRV-1023,Malpractice_Insurance,MP-658623,MagMutual,2025-08-02,2026-08-02,Expired
PRV-1024-BOARD-dermatology-certification,PRV-1024,Board_Certification,,American Board of Medical Specialties,2022-11-04,2032-11-04,Valid
PRV-1024-DEA-FD2453962,PRV-1024,DEA,FD2453962,DEA,,2025-01-04,Expired
PRV-1024-LIC-PA745830,PRV-1024,Medical_License,PA745830,PA,2013-12-13,2028-11-09,Valid
PRV-1024-MAL-MP-886931,PRV-1024,Malpractice_Insurance,MP-886931,The Doctors Company,2024-10-12,2025-10-12,Expired
PRV-1025-BOARD-physical-therapy-4ba36c19,PRV-1025,Board_Certification,,American Board of Physical Therapy Specialties,2021-02-11,2031-02-11,Valid
PRV-1025-LIC-TX353080,PRV-1025,Medical_License,TX353080,TX,2010-03-25,2028-04-03,Valid
PRV-1025-MAL-MP-599219,PRV-1025,Malpractice_Insurance,MP-599219,MedPro Group,2025-05-15,2026-05-15,Expired
PRV-1026-BOARD-pediatrics-certification,PRV-1026,Board_Certification,,American Board of Medical Specialties,2018-01-28,2028-01-28,Valid
PRV-1026-DEA-AD6294016,PRV-1026,DEA,AD6294016,DEA,,2024-08-02,Expired
PRV-1026-LIC-OH575786,PRV-1026,Medical_License,OH575786,OH,2022-05-06,2027-06-23,Valid
PRV-1026-MAL-MP-326895,PRV-1026,Malpractice_Insurance,MP-326895,The Doctors Company,2024-05-02,2025-05-02,Expired
PRV-1027-BOARD-nephrology-certification,PRV-1027,Board_Certification,,American Osteopathic Association,2018-07-21,2028-07-21,Valid
PRV-1027-DEA-MB1205779,PRV-1027,DEA,MB1205779,DEA,,2023-06-01,Expired
PRV-1027-LIC-GA157174,PRV-1027,Medical_License,GA157174,GA,2021-12-24,2026-05-02,Expired
PRV-1027-MAL-MP-601968,PRV-1027,Malpractice_Insurance,MP-601968,Coverys,2025-08-10,2026-08-10,Expired
PRV-1028-BOARD-cardiology-certification,PRV-1028,Board_Certification,,American Board of Medical Specialties,2021-05-02,2031-05-02,Valid
PRV-1028-DEA-MH8427625,PRV-1028,DEA,MH8427625,DEA,,2024-07-13,Expired
PRV-1028-LIC-OH224205,PRV-1028,Medical_License,OH224205,OH,2022-08-16,2027-02-08,Valid
PRV-1028-MAL-MP-696251,PRV-1028,Malpractice_Insurance,MP-696251,MagMutual,2024-10-31,2025-10-28,Expired
PRV-1029-BOARD-endocrinology-ce-617964f4,PRV-1029,Board_Certification,,American Board of Medical Specialties,2017-03-11,2027-03-11,Valid
PRV-1029-DEA-MB4916201,PRV-1029,DEA,MB4916201,DEA,,2025-03-04,Expired
PRV-1029-LIC-GA134225,PRV-1029,Medical_License,GA134225,GA,2020-02-08,2028-08-10,Valid
PRV-1029-MAL-MP-220351,PRV-1029,Malpractice_Insurance,MP-220351,Coverys,2024-09-27,2025-09-27,Expired
PRV-1030-BOARD-internal-medicin-ac67b4f8,PRV-1030,Board_Certification,,American Board of Medical Specialties,2023-01-28,2033-01-28,Valid
PRV-1030-DEA-MF5200476,PRV-1030,DEA,MF5200476,DEA,,2022-06-13,Expired
PRV-1030-LIC-TX666211,PRV-1030,Medical_License,TX666211,TX,2016-10-27,2027-05-17,Valid
PRV-1030-MAL-MP-807053,PRV-1030,Malpractice_Insurance,MP-807053,The Doctors Company,2024-01-27,2025-01-27,Expired
PRV-1031-BOARD-internal-medicin-7568ac39,PRV-1031,Board_Certification,,American Board of Medical Specialties,2019-06-23,2029-06-23,Valid
PRV-1031-DEA-BF7906258,PRV-1031,DEA,BF7906258,DEA,,2023-03-04,Expired
PRV-1031-LIC-TX528184,PRV-1031,Medical_License,TX528184,TX,2021-01-11,2026-08-12,Expired
PRV-1031-MAL-MP-794769,PRV-1031,Malpractice_Insurance,MP-794769,MagMutual,2025-12-11,2026-12-11,Valid
PRV-1032-BOARD-physical-therapy-f0ac8d7d,PRV-1032,Board_Certification,,American Board of Physical Therapy Specialties,2023-03-07,2033-03-07,Valid
PRV-1032-LIC-GA893188,PRV-1032,Medical_License,GA893188,GA,2014-03-17,2028-06-20,Valid
PRV-1032-MAL-MP-313446,PRV-1032,Malpractice_Insurance,MP-313446,ProAssurance,2025-10-02,2026-10-02,Expiring_Soon
PRV-1033-BOARD-family-medicine--2ed0bb34,PRV-1033,Board_Certification,,American Board of Medical Specialties,2015-06-15,2025-06-15,Expired
PRV-1033-DEA-FG9094999,PRV-1033,DEA,FG9094999,DEA,,2025-04-10,Expired
PRV-1033-LIC-NY972565,PRV-1033,Medical_License,NY972565,NY,2012-07-18,2027-02-21,Valid
PRV-1033-MAL-MP-678043,PRV-1033,Malpractice_Insurance,MP-678043,Coverys,2025-04-28,2026-04-28,Expired
PRV-1034-BOARD-endocrinology-ce-d37cde8e,PRV-1034,Board_Certification,,American Board of Medical Specialties,2019-09-28,2029-09-28,Valid
PRV-1034-DEA-MF4165061,PRV-1034,DEA,MF4165061,DEA,,2026-03-26,Expired
PRV-1034-LIC-OH607868,PRV-1034,Medical_License,OH607868,OH,2020-12-25,2026-08-18,Expiring_Soon
PRV-1034-MAL-MP-501574,PRV-1034,Malpractice_Insurance,MP-501574,NORCAL Group,2025-12-15,2026-12-15,Valid
PRV-1035-BOARD-physician-assist-46ada698,PRV-1035,Board_Certification,,National Commission on Certification of PAs,2015-03-26,2025-03-26,Expired
PRV-1035-DEA-AH5446344,PRV-1035,DEA,AH5446344,DEA,,2023-09-24,Expired
PRV-1035-LIC-TX116093,PRV-1035,Medical_License,TX116093,TX,2019-11-16,2026-09-15,Expiring_Soon
PRV-1035-MAL-MP-184216,PRV-1035,Malpractice_Insurance,MP-184216,MedPro Group,2024-12-12,2025-12-12,Expired
PRV-1036-BOARD-neurology-certification,PRV-1036,Board_Certification,,American Board of Medical Specialties,2018-09-19,2028-09-19,Valid
PRV-1036-DEA-FA5921894,PRV-1036,DEA,FA5921894,DEA,,2022-07-08,Expired
PRV-1036-LIC-FL827712,PRV-1036,Medical_License,FL827712,FL,2012-03-17,2026-08-06,Expired
PRV-1036-MAL-MP-252640,PRV-1036,Malpractice_Insurance,MP-252640,Coverys,2025-01-02,2026-01-02,Expired
PRV-1037-BOARD-orthopedic-surge-22c7547e,PRV-1037,Board_Certification,,American Osteopathic Association,2012-03-17,2022-03-17,Expired
PRV-1037-DEA-FJ3650391,PRV-1037,DEA,FJ3650391,DEA,,2027-03-20,Valid
PRV-1037-LIC-GA799233,PRV-1037,Medical_License,GA799233,GA,2020-05-05,2027-08-09,Valid
PRV-1037-MAL-MP-716113,PRV-1037,Malpractice_Insurance,MP-716113,MagMutual,2024-03-16,2025-03-16,Expired
PRV-1038-BOARD-physician-assist-f40d8c35,PRV-1038,Board_Certification,,National Commission on Certification of PAs,2012-03-07,2022-03-07,Expired
PRV-1038-DEA-ME4860745,PRV-1038,DEA,ME4860745,DEA,,2022-07-20,Expired
PRV-1038-LIC-PA387813,PRV-1038,Medical_License,PA387813,PA,2016-08-15,2026-11-13,Valid
PRV-1038-MAL-MP-767542,PRV-1038,Malpractice_Insurance,MP-767542,The Doctors Company,2025-09-13,2026-09-13,Expiring_Soon
PRV-1039-BOARD-internal-medicin-bd706641,PRV-1039,Board_Certification,,American Board of Medical Specialties,2020-03-16,2030-03-16,Valid
PRV-1039-DEA-BE9084065,PRV-1039,DEA,BE9084065,DEA,,2025-01-21,Expired
PRV-1039-LIC-IL924718,PRV-1039,Medical_License,IL924718,IL,2019-04-27,2026-04-05,Expired
PRV-1039-MAL-MP-591081,PRV-1039,Malpractice_Insurance,MP-591081,ProAssurance,2024-10-29,2025-10-28,Expired
PRV-1040-BOARD-nurse-practition-a61415a9,PRV-1040,Board_Certification,,American Academy of Nurse Practitioners,2020-05-01,2030-05-01,Valid
PRV-1040-LIC-GA769567,PRV-1040,Medical_License,GA769567,GA,2015-11-18,2028-07-27,Valid
PRV-1040-MAL-MP-749641,PRV-1040,Malpractice_Insurance,MP-749641,ProAssurance,2024-08-27,2025-08-27,Expired
PRV-1041-BOARD-nephrology-certification,PRV-1041,Board_Certification,,American Osteopathic Association,2020-04-27,2030-04-27,Valid
PRV-1041-DEA-BG2661307,PRV-1041,DEA,BG2661307,DEA,,2026-09-13,Expiring_Soon
PRV-1041-LIC-OH575679,PRV-1041,Medical_License,OH575679,OH,2015-04-08,2028-03-13,Valid
PRV-1041-MAL-MP-134305,PRV-1041,Malpractice_Insurance,MP-134305,MagMutual,2025-05-16,2026-05-16,Expired
PRV-1042-BOARD-behavioral-healt-3a953dbb,PRV-1042,Board_Certification,,Association of Social Work Boards,2012-06-23,2022-06-23,Expired
PRV-1042-LIC-NC322409,PRV-1042,Medical_License,NC322409,NC,2012-09-27,2027-02-22,Valid
PRV-1042-MAL-MP-232040,PRV-1042,Malpractice_Insurance,MP-232040,The Doctors Company,2024-02-21,2025-02-21,Expired
